,SERIALNO,PUMA,ADJHSG,ADJINC,WGTP,NP,TYPE,ACR,AGS,BATH,BDSP,BLD,BUS,CONP,ELEP,FS,FULP,GASP,HFL,INSP,MHP,MRGI,MRGP,MRGT,MRGX,REFR,RMSP,RNTM,RNTP,RWAT,RWATPR,SINK,SMP,STOV,TEL,TEN,TOIL,VACS,VALP,VEH,WATP,YBL,FES,FINCP,FPARC,GRNTP,GRPIP,HHL,HHT,HINCP,HUGCL,HUPAC,HUPAOC,HUPARC,KIT,LNGI,MULTG,MV,NOC,NPF,NPP,NR,NRC,OCPIP,PARTNER,PLM,PSF,R18,R60,R65,RESMODE,SMOCP,SMX,SRNT,SVAL,TAXP,WIF,WKEXREL,WORKSTAT
71,2012000015119,104,1045360,1056030,10,1,1,1.0,,1.0,2.0,2.0,2.0,0.0,120.0,2.0,1400.0,3.0,4.0,1400.0,,1.0,900.0,1.0,1.0,1.0,3.0,,,1.0,9.0,1.0,,1.0,1.0,1.0,1.0,,190000.0,1.0,1200.0,3.0,,,,,,3.0,6.0,30000.0,0.0,4.0,4.0,4.0,1.0,2.0,1.0,5.0,0.0,,0.0,0.0,0.0,49.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1237.0,3.0,0.0,1.0,36.0,,,
73,2012000016188,300,1045360,1056030,16,2,1,1.0,,1.0,2.0,2.0,2.0,0.0,50.0,2.0,2.0,50.0,1.0,1900.0,,2.0,240.0,2.0,1.0,1.0,6.0,,,1.0,9.0,1.0,,1.0,1.0,1.0,1.0,,350000.0,2.0,200.0,3.0,4.0,47600.0,4.0,,,1.0,1.0,47600.0,0.0,4.0,4.0,4.0,1.0,1.0,1.0,6.0,0.0,2.0,0.0,0.0,0.0,21.0,0.0,1.0,0.0,0.0,2.0,2.0,1.0,840.0,3.0,0.0,1.0,51.0,1.0,8.0,9.0
75,2012000016661,102,1045360,1056030,12,3,1,1.0,,1.0,3.0,2.0,2.0,0.0,80.0,2.0,2.0,180.0,1.0,1600.0,,1.0,2200.0,1.0,1.0,1.0,6.0,,,1.0,9.0,1.0,,1.0,1.0,1.0,1.0,,425000.0,2.0,560.0,6.0,1.0,82100.0,4.0,,,3.0,1.0,82100.0,0.0,4.0,4.0,4.0,1.0,1.0,1.0,6.0,0.0,3.0,0.0,0.0,0.0,37.0,0.0,1.0,0.0,0.0,2.0,2.0,2.0,2507.0,3.0,0.0,1.0,60.0,2.0,2.0,4.0
78,2012000017722,300,1045360,1056030,17,2,1,1.0,,1.0,4.0,2.0,2.0,0.0,80.0,2.0,330.0,3.0,4.0,2800.0,,,,,3.0,1.0,8.0,,,1.0,9.0,1.0,,1.0,1.0,2.0,1.0,,292000.0,2.0,40.0,4.0,4.0,156700.0,4.0,,,3.0,1.0,156700.0,0.0,4.0,4.0,4.0,1.0,1.0,1.0,7.0,0.0,2.0,0.0,0.0,0.0,6.0,0.0,1.0,0.0,0.0,2.0,2.0,1.0,786.0,,0.0,1.0,62.0,0.0,9.0,9.0
81,2012000018606,300,1045360,1056030,10,4,1,1.0,,1.0,4.0,2.0,2.0,,60.0,2.0,2400.0,3.0,4.0,,,,,,,1.0,8.0,2.0,750.0,1.0,9.0,1.0,,1.0,1.0,3.0,1.0,,,1.0,1200.0,1.0,7.0,78700.0,2.0,1110.0,17.0,1.0,3.0,78700.0,0.0,2.0,2.0,2.0,1.0,1.0,1.0,4.0,3.0,4.0,0.0,0.0,3.0,,0.0,1.0,0.0,1.0,0.0,0.0,1.0,,,1.0,0.0,,2.0,13.0,13.0
83,2012000018771,101,1045360,1056030,12,2,1,1.0,,1.0,2.0,2.0,2.0,0.0,120.0,2.0,1500.0,80.0,4.0,810.0,,1.0,1000.0,1.0,1.0,1.0,4.0,,,1.0,9.0,1.0,,1.0,1.0,1.0,1.0,,135000.0,2.0,420.0,3.0,1.0,160700.0,4.0,,,1.0,1.0,160700.0,0.0,4.0,4.0,4.0,1.0,1.0,1.0,4.0,0.0,2.0,0.0,0.0,0.0,10.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1360.0,3.0,0.0,1.0,34.0,2.0,1.0,1.0
84,2012000019047,400,1045360,1056030,8,2,1,1.0,,1.0,4.0,2.0,2.0,,130.0,2.0,1200.0,3.0,4.0,,,,,,,1.0,5.0,2.0,1800.0,1.0,9.0,1.0,,1.0,1.0,3.0,1.0,,,2.0,160.0,7.0,8.0,31600.0,2.0,2043.0,78.0,1.0,3.0,31600.0,0.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,1.0,,0.0,1.0,0.0,1.0,0.0,0.0,1.0,,,1.0,0.0,,0.0,15.0,15.0
87,2012000020316,400,1045360,1056030,14,4,1,1.0,,1.0,5.0,2.0,2.0,0.0,390.0,2.0,2.0,340.0,1.0,4100.0,,1.0,4400.0,1.0,1.0,1.0,8.0,,,1.0,9.0,1.0,,1.0,1.0,1.0,1.0,,720000.0,4.0,900.0,7.0,1.0,166000.0,4.0,,,1.0,1.0,166000.0,0.0,4.0,4.0,4.0,1.0,1.0,1.0,6.0,0.0,4.0,0.0,0.0,0.0,38.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,5205.0,3.0,0.0,1.0,68.0,3.0,8.0,4.0
88,2012000020450,101,1045360,1056030,15,2,1,2.0,1.0,1.0,3.0,2.0,2.0,0.0,230.0,2.0,250.0,3.0,4.0,1200.0,,1.0,1300.0,1.0,1.0,1.0,6.0,,,1.0,9.0,1.0,,1.0,1.0,1.0,1.0,,160000.0,3.0,2.0,2.0,,,,,,1.0,7.0,146400.0,0.0,4.0,4.0,4.0,1.0,1.0,1.0,5.0,0.0,,0.0,1.0,0.0,13.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,1551.0,3.0,0.0,1.0,51.0,,,
89,2012000020806,400,1045360,1056030,11,1,1,2.0,1.0,1.0,3.0,2.0,2.0,0.0,70.0,1.0,4000.0,3.0,4.0,2000.0,,2.0,2000.0,2.0,1.0,1.0,6.0,,,1.0,9.0,1.0,,1.0,1.0,1.0,1.0,,500000.0,0.0,300.0,3.0,,,,,,1.0,6.0,8400.0,0.0,4.0,4.0,4.0,1.0,1.0,1.0,7.0,0.0,,0.0,0.0,0.0,101.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,3012.0,3.0,0.0,1.0,62.0,,,
